Varane, Real Madrid CF, DEF, 7.0, 3.0
Alves, FC Barcelona, DEF, 7.0, 0.0
Chiellini, Juventus, DEF, 7.0, 2.0
Mascherano, FC Barcelona, DEF, 7.0, 2.0
Godín, Club Atlético de Madrid, DEF, 7.0, 0
Boateng, FC Bayern München, DEF, 7.0, 0
Juanfran, Club Atlético de Madrid, DEF, 7.0, 0
Alba, FC Barcelona, DEF, 7.0, 2.0
Bonucci, Juventus, DEF, 7.0, 3.0
Marcelo, Real Madrid CF, DEF, 7.0, 3.0
Lahm, FC Bayern München, DEF, 6.5, 0
Piqué, FC Barcelona, DEF, 6.5, 7.0
Kompany, Manchester City FC, DEF, 6.5, 3.0
Ivanović, Chelsea FC, DEF, 6.5, 2.0
Terry, Chelsea FC, DEF, 6.5, 3.0
Alaba, FC Bayern München, DEF, 6.5, 0
Ramos, Real Madrid CF, DEF, 6.5, 2.0
Silva, Paris Saint-Germain, DEF, 6.5, 0
Benatia, FC Bayern München, DEF, 6.0, 0
Darmian, Manchester United FC, DEF, 6.0, 2.0
Otamendi, Manchester City FC, DEF, 6.0, 2.0
Evra, Juventus, DEF, 6.0, 3.0
Dante, VfL Wolfsburg, DEF, 6.0, 3.0
Wiel, Paris Saint-Germain, DEF, 6.0, 0
Barzagli, Juventus, DEF, 6.0, 3.0
Lichtsteiner, Juventus, DEF, 6.0, 9.0
Zabaleta, Manchester City FC, DEF, 6.0, 0
Jantschke, VfL Borussia Mönchengladbach, DEF, 6.0, 0
Cahill, Chelsea FC, DEF, 6.0, 8.0
Pepe, Real Madrid CF, DEF, 6.0, 3.0
Luiz, Paris Saint-Germain, DEF, 6.0, 0
Smalling, Manchester United FC, DEF, 5.5, 8.0
Mangala, Manchester City FC, DEF, 5.5, 3.0
Luís, Club Atlético de Madrid, DEF, 5.5, 0
Mertesacker, Arsenal FC, DEF, 5.5, 3.0
Danilo, Real Madrid CF, DEF, 5.5, 2.0
Vermaelen, FC Barcelona, DEF, 5.5, 3.0
Srna, FC Shakhtar Donetsk, DEF, 5.5, 5.0
Maxwell, Paris Saint-Germain, DEF, 5.5, 0
Papadopoulos, Bayer 04 Leverkusen, DEF, 5.5, 6.0
Kurzawa, Paris Saint-Germain, DEF, 5.5, 0
I, Maccabi Tel-Aviv FC, DEF, 5.5, 0
Monreal, Arsenal FC, DEF, 5.5, 2.0
Azpilicueta, Chelsea FC, DEF, 5.5, 2.0
Badstuber, FC Bayern München, DEF, 5.5, 0
Gibbs, Arsenal FC, DEF, 5.5, 3.0
Garay, FC Zenit, DEF, 5.5, 0
Wendt, VfL Borussia Mönchengladbach, DEF, 5.5, 0
Demichelis, Manchester City FC, DEF, 5.5, 9.0
Indi, FC Porto, DEF, 5.5, 1.0
Mathieu, FC Barcelona, DEF, 5.5, 3.0
Shaw, Manchester United FC, DEF, 5.5, 1.0
Kolarov, Manchester City FC, DEF, 5.5, 3.0
Carriço, Sevilla FC, DEF, 5.5, 0
Marquinhos, Paris Saint-Germain, DEF, 5.5, 0
Sandro, Juventus, DEF, 5.5, 2.0
Bartra, FC Barcelona, DEF, 5.5, 2.0
Rugani, Juventus, DEF, 5.5, 0
Siqueira, Club Atlético de Madrid, DEF, 5.5, 0
Koscielny, Arsenal FC, DEF, 5.5, 3.0
Rafinha, FC Bayern München, DEF, 5.0, 0
Vieirinha, VfL Wolfsburg, DEF, 5.0, 9.0
Baba, Chelsea FC, DEF, 5.0, 0
Cissokho, FC Porto, DEF, 5.0, 0
Lombaerts, FC Zenit, DEF, 5.0, 0
Träsch, VfL Wolfsburg, DEF, 5.0, 3.0
Gayà, Valencia CF, DEF, 5.0, 2.0
Clichy, Manchester City FC, DEF, 5.0, 3.0
Carvajal, Real Madrid CF, DEF, 5.0, 8.0
Cancelo, Valencia CF, DEF, 5.0, 8.0
Hilbert, Bayer 04 Leverkusen, DEF, 5.0, 3.0
Adriano, FC Barcelona, DEF, 5.0, 9.0
Gabriel, Arsenal FC, DEF, 5.0, 2.0
Rami, Sevilla FC, DEF, 5.0, 3.0
Willems, PSV Eindhoven, DEF, 5.0, 0
Maicon, FC Porto, DEF, 5.0, 8.0
Maicon, AS Roma, DEF, 5.0, 3.0
Sagna, Manchester City FC, DEF, 5.0, 2.0
Luisão, SL Benfica, DEF, 5.0, 7.0
Tah, Bayer 04 Leverkusen, DEF, 5.0, 3.0
Rafael, Olympique Lyonnais, DEF, 5.0, 2.0
Barragán, Valencia CF, DEF, 5.0, 3.0
Christensen, VfL Borussia Mönchengladbach, DEF, 5.0, 0
Korb, VfL Borussia Mönchengladbach, DEF, 5.0, 0
Aurier, Paris Saint-Germain, DEF, 5.0, 0
Coke, Sevilla FC, DEF, 5.0, 2.0
Morozyuk, FC Dynamo Kyiv, DEF, 5.0, 0
Anyukov, FC Zenit, DEF, 5.0, 0
Torosidis, AS Roma, DEF, 5.0, 8.0
Escudero, Sevilla FC, DEF, 5.0, 0
Nacho, Real Madrid CF, DEF, 5.0, 9.0
Jones, Manchester United FC, DEF, 5.0, 3.0
Umtiti, Olympique Lyonnais, DEF, 5.0, 1.0
Bernat, FC Bayern München, DEF, 5.0, 0
Debuchy, Arsenal FC, DEF, 5.0, 3.0
Giménez, Club Atlético de Madrid, DEF, 5.0, 0
Cáceres, Juventus, DEF, 5.0, 0
Rafinha, FC Barcelona, DEF, 5.0, 1.0
Stranzl, VfL Borussia Mönchengladbach, DEF, 5.0, 0
Neto, FC Zenit, DEF, 5.0, 0
Pereira, FC Porto, DEF, 5.0, 0.0
