Messi, FC Barcelona, STR, 15.0, 14.0
Ronaldo, Real Madrid CF, STR, 15.0, 47.0
Neymar, FC Barcelona, STR, 13.5, 10.0
Benzema, Real Madrid CF, STR, 13.0, 19.0
Suárez, FC Barcelona, STR, 13.0, 23.0
Agüero, Manchester City FC, STR, 13.0, 7.0
Ibrahimović, Paris Saint-Germain, STR, 12.5, 0
Lewandowski, FC Bayern München, STR, 12.5, 0
Bale, Real Madrid CF, STR, 12.0, 3.0
Costa, Chelsea FC, STR, 12.0, 6.0
Müller, FC Bayern München, STR, 12.0, 0
Mandžukić, Juventus, STR, 11.5, 11.0
Cavani, Paris Saint-Germain, STR, 11.0, 0
Bony, Manchester City FC, STR, 10.5, 10.0
Lavezzi, Paris Saint-Germain, STR, 10.0, 0
Morata, Juventus, STR, 10.0, 11.0
Griezmann, Club Atlético de Madrid, STR, 10.0, 0
Sánchez, Arsenal FC, STR, 10.0, 14.0
Rodríguez, Chelsea FC, STR, 10.0, 3.0
Llorente, Sevilla FC, STR, 9.5, 7.0
Martínez, Club Atlético de Madrid, STR, 9.5, 0
Rooney, Manchester United FC, STR, 9.5, 7.0
Giroud, Arsenal FC, STR, 9.0, 16.0
Negredo, Valencia CF, STR, 9.0, 3.0
Walcott, Arsenal FC, STR, 9.0, 11.0
Depay, Manchester United FC, STR, 9.0, 6.0
Totti, AS Roma, STR, 9.0, 0
Lacazette, Olympique Lyonnais, STR, 9.0, 11.0
Yılmaz, Galatasaray AŞ, STR, 9.0, 0
Kiessling, Bayer 04 Leverkusen, STR, 9.0, 3.0
Jesé, Real Madrid CF, STR, 9.0, 3.0
Doumbia, PFC CSKA Moskva, STR, 8.5, 15.0
Falcao, Chelsea FC, STR, 8.5, 0
Dost, VfL Wolfsburg, STR, 8.5, 7.0
Dybala, Juventus, STR, 8.5, 2.0
Çalhanoğlu, Bayer 04 Leverkusen, STR, 8.5, 10.0
Gervinho, AS Roma, STR, 8.5, 7.0
Gameiro, Sevilla FC, STR, 8.5, 6.0
Hulk, FC Zenit, STR, 8.5, 0
Mehmedi, Bayer 04 Leverkusen, STR, 8.0, 19.0
Kruse, VfL Wolfsburg, STR, 8.0, 7.0
Rémy, Chelsea FC, STR, 8.0, 3.0
Jonas, SL Benfica, STR, 8.0, 6.0
Immobile, Sevilla FC, STR, 8.0, 3.0
Džeko, AS Roma, STR, 8.0, 11.0
Soudani, GNK Dinamo Zagreb, STR, 8.0, 2.0
Brahimi, FC Porto, STR, 8.0, 7.0
Vietto, Club Atlético de Madrid, STR, 8.0, 0
Beauvue, Olympique Lyonnais, STR, 7.5, 3.0
Alcácer, Valencia CF, STR, 7.5, 2.0
Bulut, Galatasaray AŞ, STR, 7.5, 0
Yarmolenko, FC Dynamo Kyiv, STR, 7.5, 11.0
Varela, FC Porto, STR, 7.5, 1.0
Jong, PSV Eindhoven, STR, 7.5, 8.0
Welbeck, Arsenal FC, STR, 7.5, 0
Podolski, Galatasaray AŞ, STR, 7.5, 0
Tello, FC Porto, STR, 7.5, 7.0
Musa, PFC CSKA Moskva, STR, 7.5, 6.0
Hernández, Bayer 04 Leverkusen, STR, 7.5, 23.0
Zaza, Juventus, STR, 7.5, 5.0
Osvaldo, FC Porto, STR, 7.5, 1.0
Eduardo, FC Shakhtar Donetsk, STR, 7.5, 7.0
Jiménez, SL Benfica, STR, 7.5, 10.0
Aboubakar, FC Porto, STR, 7.0, 14.0
Bendtner, VfL Wolfsburg, STR, 7.0, 3.0
Laursen, PSV Eindhoven, STR, 7.0, 0
