Hazard, Chelsea FC, MID, 11.5, 3.0
Robben, FC Bayern München, MID, 11.0, 0
Rodríguez, Real Madrid CF, MID, 10.5, 3.0
Götze, FC Bayern München, MID, 10.5, 0
Ribéry, FC Bayern München, MID, 10.5, 0
Touré, Manchester City FC, MID, 10.0, 3.0
Vidal, FC Bayern München, MID, 10.0, 0
Iniesta, FC Barcelona, MID, 10.0, 3.0
Fàbregas, Chelsea FC, MID, 9.5, 7.0
Silva, Manchester City FC, MID, 9.5, 8.0
Özil, Arsenal FC, MID, 9.5, 11.0
Cazorla, Arsenal FC, MID, 9.5, 3.0
Koke, Club Atlético de Madrid, MID, 9.0, 0
Pjanić, AS Roma, MID, 9.0, 13.0
Ramsey, Arsenal FC, MID, 9.0, 2.0
Rakitić, FC Barcelona, MID, 9.0, 12.0
María, Paris Saint-Germain, MID, 9.0, 0
Sterling, Manchester City FC, MID, 9.0, 18.0
Pogba, Juventus, MID, 9.0, 3.0
Isco, Real Madrid CF, MID, 9.0, 2.0
Kampl, Bayer 04 Leverkusen, MID, 8.5, 5.0
Oscar, Chelsea FC, MID, 8.5, 13.0
Kroos, Real Madrid CF, MID, 8.5, 3.0
Marchisio, Juventus, MID, 8.5, 2.0
Rossi, AS Roma, MID, 8.5, 11.0
Bruyne, Manchester City FC, MID, 8.5, 8.0
Hernanes, Juventus, MID, 8.5, 0.0
Pastore, Paris Saint-Germain, MID, 8.5, 0
Mata, Manchester United FC, MID, 8.5, 8.0
Dzagoev, PFC CSKA Moskva, MID, 8.0, 3.0
Raffael, VfL Borussia Mönchengladbach, MID, 8.0, 0
Khedira, Juventus, MID, 8.0, 3.0
Oxlade-Chamberlain, Arsenal FC, MID, 8.0, 0
Teixeira, FC Shakhtar Donetsk, MID, 8.0, 17.0
Kramer, Bayer 04 Leverkusen, MID, 8.0, 2.0
Sneijder, Galatasaray AŞ, MID, 8.0, 0
Draxler, VfL Wolfsburg, MID, 8.0, 8.0
Valbuena, Olympique Lyonnais, MID, 8.0, 3.0
Modrić, Real Madrid CF, MID, 8.0, 8.0
Fekir, Olympique Lyonnais, MID, 8.0, 0
Konoplyanka, Sevilla FC, MID, 8.0, 13.0
Lucas, Paris Saint-Germain, MID, 8.0, 0
Navas, Manchester City FC, MID, 8.0, 2.0
Nasri, Manchester City FC, MID, 8.0, 0
Willian, Chelsea FC, MID, 8.0, 28.0
Bernard, FC Shakhtar Donetsk, MID, 8.0, 3.0
Danny, FC Zenit, MID, 8.0, 0
Costa, FC Bayern München, MID, 8.0, 0
Hazard, VfL Borussia Mönchengladbach, MID, 7.5, 0
Busquets, FC Barcelona, MID, 7.5, 2.0
Tiago, Club Atlético de Madrid, MID, 7.5, 0
Florenzi, AS Roma, MID, 7.5, 8.0
Herrera, Manchester United FC, MID, 7.5, 2.0
Cuadrado, Juventus, MID, 7.5, 3.0
Gabi, Club Atlético de Madrid, MID, 7.5, 0
Vitolo, Sevilla FC, MID, 7.5, 8.0
Witsel, FC Zenit, MID, 7.5, 0
Alcántara, FC Bayern München, MID, 7.5, 0
Iturbe, AS Roma, MID, 7.5, 3.0
Alonso, FC Bayern München, MID, 7.5, 0
Fellaini, Manchester United FC, MID, 7.5, 2.0
Tolisso, Olympique Lyonnais, MID, 7.5, 2.0
Reyes, Sevilla FC, MID, 7.5, 2.0
Fernandinho, Manchester City FC, MID, 7.5, 7.0
Schweinsteiger, Manchester United FC, MID, 7.5, 2.0
Schneiderlin, Manchester United FC, MID, 7.5, 2.0
Wilshere, Arsenal FC, MID, 7.5, 0
Taison, FC Shakhtar Donetsk, MID, 7.5, 3.0
Schürrle, VfL Wolfsburg, MID, 7.5, 7.0
Herrera, FC Porto, MID, 7.5, 3.0
Fernando, Manchester City FC, MID, 7.5, 3.0
Xhaka, VfL Borussia Mönchengladbach, MID, 7.5, 0
Verratti, Paris Saint-Germain, MID, 7.0, 0
Roberto, FC Barcelona, MID, 7.0, 8.0
Banega, Sevilla FC, MID, 7.0, 12.0
Young, Manchester United FC, MID, 7.0, 2.0
Gonalons, Olympique Lyonnais, MID, 7.0, -4.0
Malbranque, Olympique Lyonnais, MID, 7.0, 2.0
Matuidi, Paris Saint-Germain, MID, 7.0, 0
Delph, Manchester City FC, MID, 7.0, 3.0
Matić, Chelsea FC, MID, 7.0, 0.0
Kovačić, Real Madrid CF, MID, 7.0, 7.0
Ferreira-Carrasco, Club Atlético de Madrid, MID, 7.0, 0
Grenier, Olympique Lyonnais, MID, 7.0, 3.0
Ñíguez, Club Atlético de Madrid, MID, 7.0, 0
Oliveira, FC Porto, MID, 7.0, 0
Kakuta, Sevilla FC, MID, 7.0, 0
Carrick, Manchester United FC, MID, 7.0, 3.0
Taarabt, SL Benfica, MID, 7.0, 0
Herrmann, VfL Borussia Mönchengladbach, MID, 7.0, 0
Iborra, Sevilla FC, MID, 7.0, 2.0
Bellarabi, Bayer 04 Leverkusen, MID, 7.0, 3.0
Nainggolan, AS Roma, MID, 7.0, 1.0
Gaitán, SL Benfica, MID, 7.0, 14.0
Pereyra, Juventus, MID, 7.0, 1.0
Maher, PSV Eindhoven, MID, 7.0, 3.0
Tošić, PFC CSKA Moskva, MID, 7.0, 3.0
Fred, FC Shakhtar Donetsk, MID, 6.5, 2.0
Stambouli, Paris Saint-Germain, MID, 6.5, 0
Nem, FC Shakhtar Donetsk, MID, 6.5, 0
Cañas, FC Astana, MID, 6.5, 2.0
Martínez, FC Bayern München, MID, 6.5, 0
Arnold, VfL Wolfsburg, MID, 6.5, 2.0
Motta, Paris Saint-Germain, MID, 6.5, 0
Foket, KAA Gent, MID, 6.5, 3.0
Pröpper, PSV Eindhoven, MID, 6.5, 8.0
Bender, Bayer 04 Leverkusen, MID, 6.5, 2.0
